About|Tungkol|Tentang|Giới thiệu|เกี่ยวกับ|Acerca de|Sobre|À propos|Über|О программе
UI config save failed|Nabigo ang pag-save ng UI config|Gagal menyimpan konfigurasi UI|Lưu cấu hình UI thất bại|บันทึกการตั้งค่า UI ล้มเหลว|Error al guardar la configuración de UI|Falha ao salvar a configuração da UI|Échec de l’enregistrement de la configuration UI|Speichern der UI-Konfiguration fehlgeschlagen|Не удалось сохранить конфигурацию UI
Unknown|Hindi Kilala|Tidak Diketahui|Không xác định|ไม่ทราบ|Desconocido|Desconhecido|Inconnu|Unbekannt|Неизвестно
Upgrades|Mga Upgrade|Peningkatan|Nâng cấp|อัปเกรด|Mejoras|Melhorias|Améliorations|Upgrades|Улучшения
Use Ride A Pet's own native Auto-Buy.|Gamitin ang sariling native Auto-Buy ng Ride A Pet.|Gunakan Auto-Buy bawaan Ride A Pet.|Dùng Auto-Buy gốc của Ride A Pet.|ใช้ Auto-Buy เดิมของ Ride A Pet|Usa el Auto-Buy nativo de Ride A Pet.|Use o Auto-Buy nativo do Ride A Pet.|Utilise l’Auto-Buy natif de Ride A Pet.|Verwendet den nativen Auto-Buy von Ride A Pet.|Использует штатный Auto-Buy Ride A Pet.
Used when Auto Swap Highest Pet is OFF.|Ginagamit kapag OFF ang Auto Swap Highest Pet.|Digunakan saat Auto Swap Highest Pet OFF.|Dùng khi Auto Swap Highest Pet TẮT.|ใช้เมื่อ Auto Swap Highest Pet ปิด|Se usa cuando Auto Swap Highest Pet está OFF.|Usado quando Auto Swap Highest Pet está OFF.|Utilisé lorsque Auto Swap Highest Pet est OFF.|Wird verwendet, wenn Auto Swap Highest Pet AUS ist.|Используется, когда Auto Swap Highest Pet ВЫКЛ.
Uses current server eggs, Egg Luck and the game's real formatted K.G value.|Ginagamit ang kasalukuyang server eggs, Egg Luck at tunay na formatted K.G value ng game.|Menggunakan telur server saat ini, Egg Luck, dan nilai K.G asli yang diformat oleh game.|Dùng trứng máy chủ hiện tại, Egg Luck và giá trị K.G thật do game định dạng.|ใช้ไข่ในเซิร์ฟเวอร์ปัจจุบัน Egg Luck และค่า K.G จริงที่เกมจัดรูปแบบ|Usa los huevos del servidor actual, Egg Luck y el K.G real formateado por el juego.|Usa os ovos do servidor atual, Egg Luck e o valor K.G real formatado pelo jogo.|Utilise les œufs du serveur actuel, Egg Luck et la vraie valeur K.G formatée par le jeu.|Nutzt aktuelle Server-Eier, Egg Luck und den echten vom Spiel formatierten K.G-Wert.|Использует яйца текущего сервера, Egg Luck и реальное форматированное игрой значение K.G.
Uses the Auto-Buy already present in the gear shop.|Ginagamit ang Auto-Buy na nasa gear shop na.|Menggunakan Auto-Buy yang sudah ada di toko gear.|Dùng Auto-Buy có sẵn trong cửa hàng trang bị.|ใช้ Auto-Buy ที่มีอยู่แล้วในร้านอุปกรณ์|Usa el Auto-Buy ya presente en la tienda de equipo.|Usa o Auto-Buy já presente na loja de equipamentos.|Utilise l’Auto-Buy déjà présent dans la boutique d’équipement.|Nutzt den bereits im Ausrüstungsladen vorhandenen Auto-Buy.|Использует уже имеющийся Auto-Buy в магазине снаряжения.
Uses the game's Place Best and only runs again when your pet inventory or garden changes.|Ginagamit ang Place Best ng game at uulit lang kapag nagbago ang pet inventory o garden.|Menggunakan Place Best milik game dan hanya berjalan lagi saat inventaris pet atau kebun berubah.|Dùng Place Best của game và chỉ chạy lại khi kho pet hoặc vườn thay đổi.|ใช้ Place Best ของเกมและจะรันอีกครั้งเมื่อคลังสัตว์เลี้ยงหรือสวนเปลี่ยนเท่านั้น|Usa Place Best del juego y solo vuelve a ejecutarse cuando cambia tu inventario de mascotas o jardín.|Usa o Place Best do jogo e só roda novamente quando o inventário de pets ou jardim mudar.|Utilise le Place Best du jeu et ne se relance que lorsque l’inventaire d’animaux ou le jardin change.|Nutzt das Place Best des Spiels und läuft nur erneut, wenn sich Begleiterinventar oder Garten ändern.|Использует Place Best игры и запускается снова только при изменении инвентаря питомцев или сада.
Weather Pet Swap|Weather Pet Swap|Tukar Pet Cuaca|Đổi thú cưng theo thời tiết|สลับสัตว์เลี้ยงตามสภาพอากาศ|Cambio de mascotas por clima|Troca de pets por clima|Échange d’animaux selon la météo|Wetter-Begleiterwechsel|Смена питомцев по погоде
Weather Pets|Weather Pets|Pet Cuaca|Thú cưng thời tiết|สัตว์เลี้ยงสภาพอากาศ|Mascotas del clima|Pets do clima|Animaux météo|Wetter-Begleiter|Питомцы для погоды
Weather pet list refreshed|Na-refresh ang weather pet list|Daftar pet cuaca diperbarui|Đã làm mới danh sách thú cưng thời tiết|รีเฟรชรายชื่อสัตว์เลี้ยงสภาพอากาศแล้ว|Lista de mascotas del clima actualizada|Lista de pets do clima atualizada|Liste des animaux météo actualisée|Wetter-Begleiterliste aktualisiert|Список погодных питомцев обновлён
Webhook|Webhook|Webhook|Webhook|เว็บฮุก|Webhook|Webhook|Webhook|Webhook|Вебхук
Webhook Eggs|Mga Itlog ng Webhook|Telur Webhook|Trứng webhook|ไข่เว็บฮุก|Huevos del webhook|Ovos do webhook|Œufs du webhook|Webhook-Eier|Яйца вебхука
Webhook Minimum K.G|Minimum K.G ng Webhook|K.G Minimum Webhook|K.G tối thiểu của webhook|K.G ขั้นต่ำของเว็บฮุก|K.G mínimo del webhook|K.G mínimo do webhook|K.G minimum du webhook|Minimales Webhook-K.G|Минимальный K.G вебхука
Webhook Rarities|Mga Rarity ng Webhook|Kelangkaan Webhook|Độ hiếm webhook|ระดับความหายากของเว็บฮุก|Rarezas del webhook|Raridades do webhook|Raretés du webhook|Webhook-Seltenheiten|Редкости вебхука
Webhook test failed|Nabigo ang webhook test|Uji webhook gagal|Kiểm tra webhook thất bại|ทดสอบเว็บฮุกล้มเหลว|Falló la prueba del webhook|Falha no teste do webhook|Échec du test du webhook|Webhook-Test fehlgeschlagen|Тест вебхука не удался
Webhook test sent|Naipadala ang webhook test|Uji webhook terkirim|Đã gửi kiểm tra webhook|ส่งการทดสอบเว็บฮุกแล้ว|Prueba del webhook enviada|Teste do webhook enviado|Test du webhook envoyé|Webhook-Test gesendet|Тест вебхука отправлен
When Auto Server Hop is enabled, wait this long while no egg matches the current Auto Steal filter choices.|Kapag enabled ang Auto Server Hop, maghintay nang ganito katagal habang walang itlog na tugma sa kasalukuyang Auto Steal filters.|Saat Auto Server Hop aktif, tunggu selama ini ketika tidak ada telur yang cocok dengan filter Auto Steal saat ini.|Khi Auto Server Hop bật, chờ khoảng thời gian này nếu không có trứng phù hợp bộ lọc Auto Steal hiện tại.|เมื่อเปิด Auto Server Hop ให้รอตามเวลานี้ขณะที่ไม่มีไข่ตรงกับตัวกรอง Auto Steal ปัจจุบัน|Cuando Auto Server Hop está activado, espera este tiempo mientras ningún huevo coincide con los filtros actuales de Auto Steal.|Quando Auto Server Hop estiver ativado, aguarde este tempo enquanto nenhum ovo corresponder aos filtros atuais do Auto Steal.|Lorsque Auto Server Hop est activé, attendez cette durée tant qu’aucun œuf ne correspond aux filtres Auto Steal actuels.|Wenn Auto Server Hop aktiv ist, so lange warten, solange kein Ei den aktuellen Auto-Steal-Filtern entspricht.|Когда Auto Server Hop включён, ждать это время, пока ни одно яйцо не соответствует текущим фильтрам Auto Steal.
pet(s)|pet|pet|thú cưng|สัตว์เลี้ยง|mascota(s)|pet(s)|animal(aux)|Begleiter|питомец(ы)
placed pet(s)|naka-place na pet|pet yang dipasang|thú cưng đã đặt|สัตว์เลี้ยงที่วางแล้ว|mascota(s) colocada(s)|pet(s) colocado(s)|animal(aux) placé(s)|platzierte Begleiter|размещённый питомец(ы)
Action Cooldown|Paghihintay sa Aksyon|Jeda Aksi|Thời gian chờ thao tác|เวลารอการกระทำ|Espera entre acciones|Intervalo entre ações|Délai entre actions|Aktionswartezeit|Задержка действий
Advanced options|Mga advanced na opsyon|Opsi lanjutan|Tùy chọn nâng cao|ตัวเลือกขั้นสูง|Opciones avanzadas|Opções avançadas|Options avancées|Erweiterte Optionen|Дополнительные настройки
Collect Delay|Pagitan ng Pagkolekta|Jeda Pengumpulan|Độ trễ thu thập|ระยะเวลารอเก็บ|Intervalo de recolección|Intervalo de coleta|Délai de collecte|Sammelintervall|Интервал сбора
Copy Place ID|Kopyahin ang Place ID|Salin Place ID|Sao chép Place ID|คัดลอก Place ID|Copiar Place ID|Copiar Place ID|Copier le Place ID|Place ID kopieren|Копировать Place ID
Current Status|Kasalukuyang Katayuan|Status Saat Ini|Trạng thái hiện tại|สถานะปัจจุบัน|Estado actual|Status atual|État actuel|Aktueller Status|Текущий статус
Discord notification|Abiso sa Discord|Notifikasi Discord|Thông báo Discord|การแจ้งเตือน Discord|Notificación de Discord|Notificação do Discord|Notification Discord|Discord-Benachrichtigung|Уведомление Discord
Display Name|Pangalang Ipapakita|Nama Tampilan|Tên hiển thị|ชื่อที่แสดง|Nombre visible|Nome de exibição|Nom affiché|Anzeigename|Отображаемое имя
Farming|Pag-farm|Farming|Cày tài nguyên|ฟาร์ม|Farmeo|Farm|Farm|Farmen|Фарм
Keyboard shortcuts|Mga shortcut sa keyboard|Pintasan keyboard|Phím tắt|ปุ่มลัด|Atajos de teclado|Atalhos de teclado|Raccourcis clavier|Tastenkürzel|Горячие клавиши
Minimize Interface|I-minimize ang Interface|Minimalkan Antarmuka|Thu nhỏ giao diện|ย่อหน้าต่าง|Minimizar interfaz|Minimizar interface|Réduire l’interface|Oberfläche minimieren|Свернуть интерфейс
Only selected|Mga napili lang|Hanya yang dipilih|Chỉ mục đã chọn|เฉพาะที่เลือก|Solo seleccionados|Somente selecionados|Sélection uniquement|Nur ausgewählte|Только выбранные
Overview|Pangkalahatang-ideya|Ringkasan|Tổng quan|ภาพรวม|Resumen|Visão geral|Vue d’ensemble|Übersicht|Обзор
Place ID|Place ID|Place ID|Place ID|Place ID|Place ID|Place ID|Place ID|Place ID|Place ID
Purchase Filter|Filter sa Pagbili|Filter Pembelian|Bộ lọc mua|ตัวกรองการซื้อ|Filtro de compra|Filtro de compra|Filtre d’achat|Kauffilter|Фильтр покупок
